ID_Cliente,nombre_prefijo,primer_nombre,ultimo_nombre,genero,mail,Fecha_nacimiento,hora_nacimiento,edad,peso,Fecha_union,Anio_cia,salario,telefono,nombre_lugar,pais,ciudad,estado,Zip,region,usuario,Emp_ID
1,Ms.,Shawna,Buck,F,shawna.buck@gmail.com,12/12/1971,06:34:47 a. m.,45.66,44,12/18/2010,6.61,119090,702-771-7149,Las Vegas,Clark,Las Vegas,NV,89128,West,swbuck,0
2,Mr.,Nathaniel,Burke,M,nathaniel.burke@walmart.com,10/31/1993,02:02:38 a. m.,23.76,52,4/25/2017,0.26,117991,231-765-6923,Irons,Lake,Irons,MI,49644,Midwest,nzburke,1
3,Drs.,Elisabeth,Foster,F,elisabeth.foster@gmail.com,11/26/1994,03:48:27 p. m.,22.68,42,3/27/2017,0.34,161045,270-749-4774,Lexington,Fayette,Lexington,KY,40501,South,ewfoster,2
4,Mrs.,Briana,Lancaster,F,briana.lancaster@yahoo.com,11/24/1975,09:44:16 p. m.,41.7,43,2/25/2003,14.43,142616,219-623-8216,Munster,Lake,Munster,IN,46321,Midwest,bclancaster,3
5,Hon.,Estella,Potter,F,estella.potter@gmail.com,3/13/1995,09:30:28 p. m.,22.39,58,10/11/2016,0.79,135706,907-677-8486,Fairbanks,Fairbanks North Star,Fairbanks,AK,99709,West,elpotter,4
6,Mr.,Lamont,Woods,M,lamont.woods@hotmail.com,10/13/1991,07:19:41 a. m.,25.81,59,11/27/2014,2.67,173027,236-597-8196,Purcellville,Loudoun,Purcellville,VA,20134,South,llwoods,5
7,Ms.,Melinda,Lopez,F,melinda.lopez@hotmail.com,9/15/1984,01:31:34 p. m.,32.89,55,11/22/2005,11.69,41287,210-396-1493,Stowell,Chambers,Stowell,TX,77661,South,mllopez,6
8,Mrs.,Shanna,Silva,F,shanna.silva@gmail.com,6/19/1958,12:42:34 p. m.,59.15,48,10/23/1999,17.78,85833,236-373-6712,Herndon,Fairfax,Herndon,VA,20171,South,susilva,7
9,Ms.,Jasmine,Freeman,F,jasmine.freeman@gmail.com,8/31/1961,05:28:26 a. m.,55.95,55,02/01/1983,34.51,154216,423-796-1535,Ocoee,Polk,Ocoee,TN,37361,South,jjfreeman,8
10,Ms.,Madge,Sargent,F,madge.sargent@aol.com,10/02/1981,05:09:07 p. m.,35.84,58,4/13/2006,11.3,133003,217-910-0644,Springfield,Sangamon,Springfield,IL,62712,Midwest,mvsargent,9
11,Ms.,Bethany,Cline,F,bethany.cline@yahoo.ca,10/01/1986,05:22:21 a. m.,30.84,48,4/19/2008,9.28,154836,215-970-5881,Montgomery,Lycoming,Montgomery,PA,17752,Northeast,bzcline,10
12,Prof.,Reid,Randolph,M,reid.randolph@gmail.com,1/20/1989,11:39:31 p. m.,28.54,78,04/08/2017,0.3,124757,209-996-8902,Pacoima,Los Angeles,Pacoima,CA,91331,West,rfrandolph,11
13,Hon.,Antoine,Wiley,M,antoine.wiley@verizon.net,2/22/1996,06:29:11 p. m.,21.44,61,4/18/2017,0.28,58733,503-361-6334,Canby,Clackamas,Canby,OR,97013,West,ahwiley,12
14,Dr.,Mathew,Hodge,M,mathew.hodge@hotmail.com,07/05/1995,03:24:44 p. m.,22.08,89,11/11/2016,0.71,75584,209-294-7430,Van Nuys,Los Angeles,Van Nuys,CA,91404,West,mohodge,13
15,Mr.,Bernardo,Austin,M,bernardo.austin@hotmail.com,02/02/1975,11:18:06 p. m.,42.51,64,1/26/2005,12.51,118693,319-716-4227,Knoxville,Marion,Knoxville,IA,50197,Midwest,blaustin,14
16,Dr.,Cole,Jensen,M,cole.jensen@aol.com,02/10/1990,07:36:01 p. m.,27.48,74,5/30/2011,6.17,98381,405-495-4201,Oklahoma City,Oklahoma,Oklahoma City,OK,73184,South,cejensen,15
17,Ms.,Tonia,Burns,F,tonia.burns@gmail.com,4/19/1985,10:44:02 p. m.,32.3,50,09/12/2014,2.88,102274,209-631-5424,Friant,Fresno,Friant,CA,93626,West,tjburns,16
18,Mr.,Tod,Holcomb,M,tod.holcomb@outlook.com,6/21/1987,05:10:47 a. m.,30.12,76,06/05/2015,2.15,91719,240-364-4220,Patuxent River,St. Mary's,Patuxent River,MD,20670,South,tnholcomb,17
19,Mrs.,Yesenia,Guerrero,F,yesenia.guerrero@btinternet.com,3/29/1968,04:24:45 p. m.,49.36,41,03/03/1994,23.42,150016,240-505-5321,Reisterstown,Baltimore,Reisterstown,MD,21136,South,ybguerrero,18
20,Mr.,Carey,Ferrell,M,carey.ferrell@yahoo.com,5/22/1972,04:16:53 p. m.,45.21,87,10/30/2004,12.75,125232,212-495-4523,New Baltimore,Greene,New Baltimore,NY,12124,Northeast,cbferrell,19
21,Mrs.,Aileen,Blanchard,F,aileen.blanchard@gmail.com,12/05/1986,11:18:17 a. m.,30.67,49,7/18/2009,8.03,179264,308-788-3843,Herman,Washington,Herman,NE,68029,Midwest,adblanchard,20
22,Mrs.,Marta,Cervantes,F,marta.cervantes@gmail.com,2/17/1971,08:46:37 a. m.,46.47,48,9/17/2016,0.86,68134,206-858-9176,Hoquiam,Grays Harbor,Hoquiam,WA,98550,West,mncervantes,21
23,Mr.,Arthur,Holloway,M,arthur.holloway@aol.com,9/21/1970,11:57:43 p. m.,46.88,65,1/27/2004,13.51,118621,225-832-0451,Dodson,Winn,Dodson,LA,71422,South,aqholloway,22
24,Ms.,Tara,Forbes,F,tara.forbes@gmail.com,6/26/1976,07:47:36 p. m.,41.12,55,9/24/2009,7.85,85864,319-249-4281,Sheldon,O'Brien,Sheldon,IA,51201,Midwest,tyforbes,23
25,Mr.,Josef,Griffin,M,josef.griffin@yahoo.com,8/14/1976,04:28:48 a. m.,40.98,73,2/25/1998,19.43,98030,209-441-9130,Sacramento,Sacramento,Sacramento,CA,95830,West,jsgriffin,24
26,Ms.,Keri,Slater,F,keri.slater@apple.com,08/03/1960,11:14:40 a. m.,57.02,58,08/09/1994,22.98,149842,207-842-2965,Friendship,Knox,Friendship,ME,4547,Northeast,kjslater,25
27,Mr.,Desmond,Wynn,M,desmond.wynn@hotmail.com,07/09/1992,04:39:00 a. m.,25.07,58,10/01/2013,3.82,79476,209-319-3405,Fresno,Fresno,Fresno,CA,93888,West,drwynn,26
